created_at,Temperature,Humidity,PM 2.5,PM 10
2025-02-11T11:03:19+00:00,35.32,38.69,43.3,85.8
2025-02-11T11:03:39+00:00,35.34,38.67,44.5,80.4
2025-02-11T11:03:55+00:00,35.33,38.74,45.8,81.8
2025-02-11T11:04:13+00:00,35.34,38.81,46,80.3
2025-02-11T11:04:33+00:00,35.32,38.79,44.4,85
2025-02-11T11:04:55+00:00,35.34,38.55,43.3,73
2025-02-11T11:05:15+00:00,35.34,38.41,42.8,69.9
2025-02-11T11:05:35+00:00,35.35,38.49,43.4,71.1
2025-02-11T11:06:04+00:00,35.39,38.41,43.4,64.5
2025-02-11T11:06:24+00:00,35.35,38.36,42,67.2
2025-02-11T11:06:45+00:00,35.33,38.36,41.4,67.2
2025-02-11T11:07:05+00:00,35.33,38.43,44.5,77.6
2025-02-11T11:07:23+00:00,35.32,38.52,44.8,78.8
2025-02-11T11:07:39+00:00,35.31,38.59,42.7,75.6
2025-02-11T11:08:00+00:00,35.29,38.44,41.2,66
2025-02-11T11:08:20+00:00,35.3,38.59,41.9,66.9
2025-02-11T11:08:39+00:00,35.27,38.66,42.5,80.5
2025-02-11T11:08:59+00:00,35.23,38.57,44.4,73.5
2025-02-11T11:09:19+00:00,35.21,38.56,42.6,65.9
2025-02-11T11:09:39+00:00,35.19,38.66,43.9,70.3
2025-02-11T11:09:58+00:00,35.17,38.5,43.6,66
2025-02-11T11:10:18+00:00,35.12,38.49,42.6,65.9
2025-02-11T11:10:38+00:00,35.1,38.36,42.3,63.3
2025-02-11T11:10:58+00:00,35.07,38.2,41.8,61
2025-02-11T11:11:18+00:00,35.04,38.03,40.9,61.2
2025-02-11T11:11:38+00:00,35.04,37.99,41.8,70.6
2025-02-11T11:11:58+00:00,35.01,37.95,41.4,66.8
2025-02-11T11:12:18+00:00,34.97,38.06,42.8,64.9
2025-02-11T11:12:37+00:00,34.95,38.21,42.6,65
2025-02-11T11:12:57+00:00,34.96,38.26,41.5,64.6
2025-02-11T11:13:13+00:00,34.93,38.29,41.8,65
2025-02-11T11:13:33+00:00,34.94,38.27,42.1,63.1
2025-02-11T11:13:52+00:00,34.93,38.28,42.4,65.3
2025-02-11T11:14:12+00:00,34.92,38.22,42.1,62.6
2025-02-11T11:14:32+00:00,34.91,38.19,43.3,61.1
2025-02-11T11:14:51+00:00,34.87,38.22,42.9,60.9
2025-02-11T11:15:11+00:00,34.86,38.32,43.4,63.6
2025-02-11T11:15:31+00:00,34.82,38.5,43.9,66.4
2025-02-11T11:15:54+00:00,34.84,38.57,44.1,69
2025-02-11T11:16:11+00:00,34.79,38.71,43.7,71.2
2025-02-11T11:16:31+00:00,34.82,38.87,41.8,62.8
2025-02-11T11:16:51+00:00,34.79,39.01,42.7,64.6
2025-02-11T11:17:11+00:00,34.76,39.11,44.5,71.5
2025-02-11T11:17:30+00:00,34.76,39.21,43.5,71.5
2025-02-11T11:17:51+00:00,34.77,39.32,43.4,67.9
2025-02-11T11:18:11+00:00,34.78,39.41,43.6,64.7
2025-02-11T11:18:30+00:00,34.77,39.42,42.7,66.2
2025-02-11T11:19:24+00:00,34.77,39.48,42.7,73.2
2025-02-11T11:19:58+00:00,34.82,39.49,45.1,72.5
2025-02-11T11:20:16+00:00,34.86,39.44,43.1,65.8
2025-02-11T11:20:44+00:00,34.89,39.47,45,72.7
2025-02-11T11:21:00+00:00,34.91,39.47,44.4,74.4
2025-02-11T11:21:16+00:00,34.93,39.51,45,76.9
2025-02-11T11:21:38+00:00,34.91,39.59,44.7,73.1
2025-02-11T11:21:58+00:00,34.93,39.58,43.6,70.1
2025-02-11T11:22:18+00:00,34.92,39.56,44.4,74.4
2025-02-11T11:22:36+00:00,34.95,39.62,44.8,79.7
2025-02-11T11:22:56+00:00,34.96,39.61,44.4,82.4
2025-02-11T11:23:16+00:00,34.95,39.63,43.7,75.8
2025-02-11T11:23:57+00:00,34.98,39.72,44.7,83.7
2025-02-11T11:24:19+00:00,34.98,39.67,43.5,76.4
2025-02-11T11:24:39+00:00,34.97,39.67,45.4,85.9
2025-02-11T11:24:59+00:00,35,39.7,45.7,92.2
2025-02-11T11:25:19+00:00,34.99,39.74,44.1,93.4
2025-02-11T11:25:35+00:00,34.98,39.72,43.2,88.2
2025-02-11T11:25:50+00:00,34.99,39.65,43.8,86.3
2025-02-11T11:26:08+00:00,34.99,39.6,43.7,81.6
2025-02-11T11:26:24+00:00,34.99,39.53,43.2,81.5
2025-02-11T11:26:39+00:00,34.98,39.52,43.8,82.5
2025-02-11T11:27:01+00:00,35.01,39.45,43.5,75.3
2025-02-11T11:27:49+00:00,35.01,39.21,42.6,64.9
2025-02-11T11:28:05+00:00,35.01,39.22,43.5,72
2025-02-11T11:28:28+00:00,35.02,39.28,44.1,76.1
2025-02-11T11:28:47+00:00,35,39.24,43.1,71.2
2025-02-11T11:29:07+00:00,35.01,39.32,41.6,67.2
2025-02-11T11:29:27+00:00,35.02,39.38,42.9,67.7
2025-02-11T11:29:47+00:00,35.01,39.27,42.6,69.8
2025-02-11T11:30:06+00:00,34.98,39.46,43.7,75.7
2025-02-11T11:30:23+00:00,34.97,39.6,45,76.6
2025-02-11T11:30:42+00:00,34.94,39.74,44.6,80.6
2025-02-11T11:30:58+00:00,34.92,39.86,44.5,83
